Gene Id	Gene Name	Sample_78648	Sample_78650	Sample_78652	Sample_78654	Sample_78647	Sample_78649	Sample_78651	Sample_78653
H2-M11	H2-M11	1	0	0	0	0	0	0	0
H2-M2	H2-M2	2	3	6	4	5	3	0	2
H2-M3	H2-M3	55	25	56	66	11	14	18	20
H2-M5	H2-M5	25	17	31	19	5	3	4	6
H2-M9	H2-M9	0	0	0	0	0	0	0	0
H2-Oa	H2-Oa	3	3	3	6	0	0	0	0
H2-Ob	H2-Ob	10	9	8	15	2	1	4	0
H2-Q1	H2-Q1	188	173	272	179	16	38	20	20
H2-Q10	H2-Q10	34	26	30	41	0	1	5	14
H2-Q2	H2-Q2	253	184	352	266	96	60	123	71
H2-Q4	H2-Q4	128	93	106	124	60	105	91	118
H2-Q6	H2-Q6	6	4	2	1	0	4	1	7
H2-Q7	H2-Q7	19.9986	16	20.7244	20.9985	4	4.1031	6	17
H2-Q8	H2-Q8	16	6	19	12	7	13	12	5
H2-Q9	H2-Q9	0.00140815	0	6.2756	0.00151595	0	1.8969	0	0
H2-T10	H2-T10	818	699	575	1119	320	252	205	336
H2-T22	H2-T22	144.415	45.7777	198.985	122.984	19.6143	20.9984	28.5326	44
H2-T23	H2-T23	100	55	141	127	61	66	72	47
H2-T24	H2-T24	27	18	45	27	61	96	167	152
H2-T3	H2-T3	20	14	18	23	15	7	12	15
H2-T9	H2-T9	11.5851	33.2223	0.0145706	0.0155745	16.3857	0.00163001	11.4674	0
H28	H28	7	5	4	5	0	1	5	3
H2afb1	H2afb1	0	0	1	1	0	0	0	0
H2afj	H2afj	868	800	886	948	215	239	193	194
H2afv	H2afv	1631	1385	1826	1969	265	160	233	222
H2afx	H2afx	1268	1012	1376	1610	306	277	239	363
H2afy	H2afy	4537	3912	5085	5822	1365	1174	1401	1552
H2afy2	H2afy2	687	564	716	861	196	189	254	260
H2afy3	H2afy3	0	0	0	2	6	10	12	11
H2afz	H2afz	7383	6239	7936	8927	451	354	374	429
H3f3a	H3f3a	5812	5062	5916	6253	788	531	626	688
H3f3b	H3f3b	15067	12526	16085	16767	1569	1103	1324	1522
H47	H47	643	537	701	777	158	165	241	194
H60b	H60b	0	0	0	0	0	1	1	0
H60c	H60c	0	0	0	0	0	0	0	0
H6pd	H6pd	150	137	167	204	291	210	245	267
Haao	Haao	10	6	11	19	12	14	1	2
Habp2	Habp2	0	0	0	2	0	0	0	0
Habp4	Habp4	14407	11530	16618	18143	4855	2952	3977	4537
Hace1	Hace1	1022	887	1073	1204	366	290	426	483
Hacl1	Hacl1	236	237	206	270	63	95	84	96
Hadh	Hadh	903	837	915	989	166	144	147	178
Hadha	Hadha	1291	1267	1274	1583	1012	1158	1445	1426
Hadhb	Hadhb	2248	1928	2152	2610	271	360	478	389
Hagh	Hagh	3064	2699	3262	4134	405	321	434	399
Haghl	Haghl	3871	3500	4106	5151	634	592	725	791
Hal	Hal	0	0	0	2	0	1	8	0
Hamp	Hamp	0	0	0	0	0	0	0	0
Hamp2	Hamp2	2	2	3	0	1	0	0	1
Hand1	Hand1	0	0	0	0	0	0	0	0
Hand2	Hand2	0	0	0	0	0	0	0	0
Hao1	Hao1	7	4	1	8	0	0	0	0
Hao2	Hao2	4	0	0	1	0	0	1	0
Hap1	Hap1	38490	33561	40743	47509	12486	13874	19592	18971
Hapln1	Hapln1	175	131	188	212	47	37	35	43
Hapln2	Hapln2	743	591	793	1029	236	186	268	308
Hapln3	Hapln3	13	3	10	21	0	1	5	4
Hapln4	Hapln4	2164	1821	2219	2810	599	523	753	692
Harbi1	Harbi1	281	208	274	355	79	70	89	100
Hars	Hars	3954	3338	4233	4605	933	972	1270	1219
Hars2	Hars2	785	681	824	981	185	182	259	306
Has1	Has1	62	57	59	93	91	65	99	93
Has2	Has2	18	26	19	8	4	3	5	15
Has2as	Has2as	1	1	4	2	0	0	0	0
Has3	Has3	90	70	117	131	76	67	111	136
Hat1	Hat1	614	473	616	663	136	163	189	182
Haus1	Haus1	376	314	370	428	59	54	46	46
Haus2	Haus2	902	683.001	874	978	125	85	145	126
Haus3	Haus3	209	165	222	202	132	130	181	192
